timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690480630265,10463,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-534,text,false,,3145,0,2175,2175,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9903
1690480630593,10159,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1150,text,false,,3145,0,2175,2175,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9593
1690480630278,10446,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-561,text,false,,3145,0,2279,2279,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9872
1690480630117,10634,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-95,text,false,,3145,0,2173,2173,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,10085
1690480630123,10630,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-141,text,false,,3145,0,2171,2171,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,10085
1690480630751,10002,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1272,text,false,,3145,0,2169,2169,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9442
1690480630338,10386,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-615,text,false,,3145,0,2279,2279,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9783
1690480630878,9875,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1701,text,false,,3145,0,2166,2166,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9185
1690480630351,10373,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-645,text,false,,3145,0,2279,2279,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9790
1690480630575,10178,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1102,text,false,,3145,0,2163,2163,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9641
1690480630529,10225,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1010,text,false,,3145,0,2163,2163,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9671
1690480630990,9734,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-2127,text,false,,3145,0,2279,2279,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9176
